Date,Open,High,Low,Close,Adj Close,Volume
2/1/2020,3.308447,3.338388,3.218625,3.278506,2.674031,225646
3/1/2020,3.218625,3.338388,3.218625,3.338388,2.722872,300059
6/1/2020,3.315932,3.353358,3.263536,3.330903,2.716767,159114
7/1/2020,3.330903,3.345873,3.285992,3.285992,2.680136,229520
8/1/2020,3.353358,3.353358,3.256051,3.278506,2.674031,175947
9/1/2020,3.241081,3.323417,3.241081,3.263536,2.661821,316759
10/1/2020,3.293477,3.293477,3.263536,3.293477,2.686242,3689292
13/1/2020,3.293477,3.293477,3.248566,3.293477,2.686242,1763352
14/1/2020,3.293477,3.293477,3.278506,3.293477,2.686242,517422
15/1/2020,3.285992,3.293477,3.248566,3.293477,2.686242,483488
16/1/2020,3.293477,3.293477,3.128803,3.128803,2.551929,2885570
17/1/2020,3.128803,3.166229,3.128803,3.143773,2.564139,365522
20/1/2020,3.143773,3.143773,3.046466,3.046466,2.484773,815478
21/1/2020,3.046466,3.218625,3.038981,3.143773,2.564139,995701
22/1/2020,3.143773,3.143773,3.02401,3.038981,2.478668,1256617
23/1/2020,3.046466,3.091377,3.001555,3.001555,2.448143,2712294
24/1/2020,3.001555,3.143773,2.986585,2.99407,2.442038,1680788
28/1/2020,2.99407,3.00904,2.889277,2.926703,2.387092,543741
29/1/2020,3.00904,3.00904,2.941674,2.956644,2.411512,393444
30/1/2020,2.979099,2.979099,2.949159,2.956644,2.411512,1527151
31/1/2020,2.956644,3.02401,2.949159,2.956644,2.411512,1520071
3/2/2020,2.934188,2.956644,2.836881,2.836881,2.313831,1655138
4/2/2020,2.851851,2.889277,2.829396,2.844366,2.319936,1600630
5/2/2020,2.859337,2.896762,2.844366,2.889277,2.356566,2110705
6/2/2020,2.904248,2.926703,2.896762,2.904248,2.368777,2682769
7/2/2020,3.001555,3.001555,2.919218,2.919218,2.380987,1168442
10/2/2020,2.971614,2.986585,2.949159,2.956644,2.411512,813741
11/2/2020,2.919218,2.986585,2.904248,2.919218,2.380987,1127695
12/2/2020,2.926703,2.926703,2.687178,2.80694,2.28941,1371644
13/2/2020,2.80694,2.874307,2.80694,2.836881,2.313831,906191
14/2/2020,2.851851,2.979099,2.844366,2.949159,2.405407,616819
17/2/2020,2.949159,2.986585,2.911733,2.911733,2.374881,231390
18/2/2020,2.911733,2.919218,2.896762,2.896762,2.362671,306472
19/2/2020,2.904248,2.904248,2.896762,2.896762,2.362671,366190
20/2/2020,2.904248,2.911733,2.896762,2.904248,2.368777,434191
21/2/2020,2.904248,2.904248,2.889277,2.889277,2.356566,263988
24/2/2020,2.881792,2.881792,2.80694,2.814426,2.295516,594775
25/2/2020,2.80694,2.829396,2.784485,2.821911,2.30162,1846850
26/2/2020,2.80694,2.919218,2.80694,2.80694,2.28941,80960
27/2/2020,2.80694,2.821911,2.80694,2.814426,2.295516,164859
28/2/2020,2.814426,2.851851,2.799455,2.829396,2.307725,263854
2/3/2020,2.829396,2.829396,2.762029,2.79197,2.2772,229520
3/3/2020,2.829396,2.829396,2.769514,2.79197,2.2772,405601
4/3/2020,2.79197,2.836881,2.762029,2.777,2.26499,232192
5/3/2020,2.777,2.784485,2.777,2.784485,2.271095,8283
6/3/2020,2.829396,2.829396,2.784485,2.784485,2.271095,29792
9/3/2020,2.777,2.777,2.694663,2.732089,2.228359,1706840
10/3/2020,2.694663,2.732089,2.694663,2.724603,2.222254,2556519
11/3/2020,2.717118,2.769514,2.717118,2.769514,2.258884,359243
12/3/2020,2.769514,2.769514,2.657237,2.694663,2.197834,106610
13/3/2020,2.694663,2.694663,2.694663,2.694663,2.197834,0
16/3/2020,2.5749,2.5749,2.245552,2.312919,1.886474,4504637
17/3/2020,2.1707,2.297948,2.133275,2.223097,1.813213,2173496
18/3/2020,2.208126,2.208126,2.163215,2.185671,1.782688,4043458
19/3/2020,2.1707,2.245552,2.088363,2.118304,1.727741,780743
20/3/2020,2.133275,2.238067,2.133275,2.1707,1.770477,1194895
23/3/2020,2.095849,2.148245,2.088363,2.110819,1.721636,454364
24/3/2020,2.110819,2.133275,2.103334,2.110819,1.721636,860233
25/3/2020,2.148245,2.208126,2.133275,2.15573,1.758267,634721
26/3/2020,2.163215,2.208126,2.15573,2.193156,1.788792,621895
27/3/2020,2.208126,2.320404,2.208126,2.238067,1.825423,574869
30/3/2020,2.245552,2.268008,2.223097,2.268008,1.849844,1244593
31/3/2020,2.282978,2.470107,2.282978,2.432682,1.984156,600386
1/4/2020,2.432682,2.447652,2.395256,2.432682,1.984156,2114846
2/4/2020,2.432682,2.432682,2.417711,2.425196,1.97805,996369
3/4/2020,2.470107,2.470107,2.417711,2.417711,1.971945,249025
6/4/2020,2.395256,2.432682,2.395256,2.425196,1.97805,99530
7/4/2020,2.447652,2.507533,2.425196,2.447652,1.996366,245284
8/4/2020,2.447652,2.485078,2.432682,2.462622,2.008575,138406
9/4/2020,2.500048,2.507533,2.470107,2.500048,2.039101,112088
10/4/2020,2.507533,2.507533,2.447652,2.470107,2.01468,90178
13/4/2020,2.470107,2.470107,2.417711,2.417711,1.971945,627239
14/4/2020,2.417711,2.425196,2.410226,2.417711,1.971945,487096
15/4/2020,2.432682,2.462622,2.432682,2.447652,1.996366,72276
16/4/2020,2.470107,2.470107,2.432682,2.455137,2.00247,164992
17/4/2020,2.470107,2.5749,2.455137,2.544959,2.075731,2204891
20/4/2020,2.552444,2.567415,2.515019,2.522504,2.057417,953484
21/4/2020,2.522504,2.522504,2.402741,2.425196,1.97805,433790
22/4/2020,2.395256,2.5749,2.320404,2.425196,1.97805,522766
23/4/2020,2.440167,2.462622,2.425196,2.425196,1.97805,70673
24/4/2020,2.425196,2.425196,2.387771,2.425196,1.97805,189975
27/4/2020,2.425196,2.432682,2.327889,2.35783,1.923104,517289
28/4/2020,2.35783,2.395256,2.320404,2.35783,1.923104,195987
29/4/2020,2.35783,2.365315,2.327889,2.350345,1.916999,217630
30/4/2020,2.35783,2.380285,2.35783,2.365315,1.929209,924494
