Date,Open,High,Low,Close,Adj Close,Volume,New Price
2/1/2020,4.15,4.15,4.15,4.15,3.093245,0,1
3/1/2020,4.21,4.21,4.21,4.21,3.137967,100,0
6/1/2020,4.21,4.21,4.21,4.21,3.137967,0,1
7/1/2020,4.23,4.23,4.23,4.23,3.152874,2600,0
8/1/2020,4.11,4.11,4.11,4.11,3.06343,300,0
9/1/2020,4.11,4.11,4.11,4.11,3.06343,0,1
10/1/2020,4.27,4.27,4.22,4.22,3.14542,1900,1
13/1/2020,4.3,4.3,4.3,4.3,3.205049,3200,0
14/1/2020,4.3,4.3,4.3,4.3,3.205049,0,0
15/1/2020,4.3,4.3,4.3,4.3,3.205049,0,0
16/1/2020,4.3,4.3,4.3,4.3,3.205049,0,0
17/1/2020,4.3,4.3,4.3,4.3,3.205049,0,0
21/1/2020,4.28,4.28,4.28,4.28,3.190142,1800,0
22/1/2020,4.28,4.28,4.28,4.28,3.190142,0,0
23/1/2020,4.28,4.28,4.28,4.28,3.190142,0,0
24/1/2020,4.2,4.2,4.2,4.2,3.130513,300,0
27/1/2020,4.2,4.2,4.2,4.2,3.130513,0,1
28/1/2020,4.19,4.23,4.19,4.22,3.14542,72400,1
29/1/2020,4.26,4.26,4.25,4.25,3.167781,1000,0
30/1/2020,4.25,4.25,4.25,4.25,3.167781,0,0
31/1/2020,4.22,4.22,4,4,2.981441,900,1
3/2/2020,4.08,4.12,4.08,4.12,3.070884,600,1
4/2/2020,4.07,4.24,4.07,4.24,3.160327,1000,0
5/2/2020,4.12,4.17,4.12,4.17,3.108152,900,0
6/2/2020,4.17,4.17,4.17,4.17,3.108152,0,1
7/2/2020,4.18,4.22,4.18,4.22,3.14542,300,0
10/2/2020,4.22,4.22,4.22,4.22,3.14542,0,1
11/2/2020,4.22,4.23,4.22,4.23,3.152874,700,0
12/2/2020,4.23,4.23,4.23,4.23,3.152874,0,0
13/2/2020,4.23,4.23,4.23,4.23,3.152874,0,0
14/2/2020,4.23,4.23,4.23,4.23,3.152874,0,0
18/2/2020,4.23,4.23,4.23,4.23,3.152874,0,0
19/2/2020,4.23,4.23,4.23,4.23,3.152874,0,0
20/2/2020,4.03,4.03,4.03,4.03,3.003801,200,0
21/2/2020,4.04,4.05,4,4,2.981441,2900,0
24/2/2020,3.93,3.97,3.7,3.92,2.921812,2700,1
25/2/2020,3.89,3.98,3.89,3.98,2.966533,400,0
26/2/2020,3.94,3.94,3.94,3.94,2.936719,200,0
27/2/2020,3.86,3.91,3.86,3.91,2.914358,400,1
28/2/2020,3.98,3.98,3.98,3.98,2.966533,500,0
2/3/2020,3.84,3.84,3.84,3.84,2.862183,500,1
3/3/2020,3.87,3.88,3.87,3.88,2.891997,400,1
4/3/2020,4.12,4.12,4.01,4.01,2.988894,600,1
5/3/2020,4.23,4.24,4.11,4.11,3.06343,13400,0
6/3/2020,4.11,4.11,4.11,4.11,3.06343,0,0
9/3/2020,3.81,3.81,3.6,3.6,2.683296,600,1
10/3/2020,3.69,3.99,3.69,3.99,2.973987,2100,0
11/3/2020,3.86,3.86,3.67,3.67,2.735472,400,0
12/3/2020,3.67,3.67,3.67,3.67,2.735472,0,0
13/3/2020,3.58,3.58,3.53,3.58,2.66839,9400,0
16/3/2020,3.17,3.56,3.17,3.56,2.653482,600,0
17/3/2020,3,3,3,3,2.236081,300,0
18/3/2020,3.38,3.38,3,3,2.236081,500,1
19/3/2020,2.92,3.14,2.92,3.14,2.340431,600,0
20/3/2020,3.43,3.43,3.08,3.08,2.295709,32700,0
23/3/2020,2.89,3.07,2.89,2.94,2.191359,12000,1
24/3/2020,3.25,3.6,3.14,3.14,2.340431,19400,1
25/3/2020,3.16,3.21,3.16,3.16,2.355338,5000,0
26/3/2020,3.16,3.16,3.16,3.16,2.355338,1100,1
27/3/2020,3.21,3.38,3.21,3.38,2.519318,1300,1
30/3/2020,3.46,3.49,3.38,3.49,2.601307,31400,1
31/3/2020,3.62,3.62,3.62,3.62,2.698204,1200,0
1/4/2020,3.62,3.62,3.62,3.62,2.698204,0,0
2/4/2020,3.62,3.62,3.62,3.62,2.698204,0,0
3/4/2020,3.57,3.57,3.24,3.24,2.414967,56600,0
6/4/2020,3.24,3.24,3.24,3.24,2.414967,0,1
7/4/2020,3.73,3.73,3.73,3.73,2.780194,100,0
8/4/2020,3.73,3.73,3.73,3.73,2.780194,0,0
9/4/2020,3.24,3.59,3.18,3.19,2.377699,53200,1
13/4/2020,3.64,3.64,3.36,3.5,2.608761,8700,1
14/4/2020,3.85,3.85,3.85,3.85,2.869637,200,0
15/4/2020,3.63,3.63,3.49,3.49,2.601307,700,1
16/4/2020,3.61,3.61,3.41,3.47,2.72705,1200,0
17/4/2020,3.47,3.47,3.47,3.47,2.72705,0,1
20/4/2020,3.59,3.6,3.59,3.6,2.829216,4000,0
21/4/2020,3.6,3.6,3.6,3.6,2.829216,0,0
22/4/2020,3.6,3.6,3.6,3.6,2.829216,0,0
23/4/2020,3.6,3.6,3.6,3.6,2.829216,0,0
24/4/2020,3.6,3.6,3.6,3.6,2.829216,0,0
27/4/2020,3.36,3.36,3.25,3.26,2.562012,140200,0
28/4/2020,3.26,3.26,3.26,3.26,2.562012,0,1
29/4/2020,3.49,3.49,3.49,3.49,2.742768,100,0
30/4/2020,3.46,3.46,3.46,3.46,2.719191,400,1
1/5/2020,3.37,3.49,3.27,3.49,2.742768,3100,0
4/5/2020,3.58,3.58,3.25,3.3,2.593448,19100,1
5/5/2020,3.28,3.7,3.23,3.5,2.750627,19900,1
6/5/2020,3.53,3.6,3.53,3.6,2.829216,900,0
7/5/2020,3.6,3.6,3.6,3.6,2.829216,15200,0
8/5/2020,3.6,3.6,3.6,3.6,2.829216,0,0
11/5/2020,3.31,3.53,3.21,3.21,2.522718,18200,0
12/5/2020,3.15,3.15,3.15,3.15,2.475564,200,1
13/5/2020,3.56,3.58,3.56,3.58,2.813498,27100,0
14/5/2020,3.6,3.6,3.11,3.11,2.444128,1100,1
15/5/2020,3.33,3.33,3.33,3.33,2.617025,200,0
18/5/2020,3.33,3.33,3.33,3.33,2.617025,0,1
19/5/2020,3.4,3.4,3.4,3.4,2.672038,200,1
20/5/2020,3.49,3.54,3.44,3.44,2.703473,5300,0
21/5/2020,3.44,3.44,3.44,3.44,2.703473,0,0
22/5/2020,3.44,3.44,3.44,3.44,2.703473,0,0
26/5/2020,3.44,3.44,3.44,3.44,2.703473,0,0
27/5/2020,3.44,3.44,3.44,3.44,2.703473,0,0
28/5/2020,3.44,3.44,3.44,3.44,2.703473,0,0
29/5/2020,3.44,3.44,3.44,3.44,2.703473,0,1
1/6/2020,3.55,3.55,3.55,3.55,2.789921,200,0
2/6/2020,3.55,3.55,3.55,3.55,2.789921,0,1
3/6/2020,3.87,3.93,3.87,3.93,3.088561,600,0
4/6/2020,3.93,3.93,3.93,3.93,3.088561,0,1
5/6/2020,3.99,3.99,3.99,3.99,3.135715,1000,1
8/6/2020,3.84,4.04,3.84,4.04,3.175009,300,0
9/6/2020,4.04,4.04,4.04,4.04,3.175009,0,0
10/6/2020,3.61,3.61,3.51,3.51,2.758486,300000,0
11/6/2020,3.51,3.51,3.51,3.51,2.758486,185200,0
12/6/2020,3.51,3.51,3.51,3.51,2.758486,0,0
